ESPECIE,T_DISTRIB,VEDA,RESOLUCION,ENTID_VEDA,CATEG_CIT,CATEG_UICN,CATE_MINIS,MIGRACION,TIPO_MIGR,VIGEN_VEDA,USO,DIETA,DISTR_ALT
Amerotyphlops reticulatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<812
Andinoacara pulcher,Restringida,,,,No aplica,No Evaluado (NE),No aplica,Sí,Estacional,,Otro,Carnivoro,<600
Anolis aff. sulcifrons,,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,No Evaluado (NE),No aplica,No,,Indefinida,,Insectivoro,
Anurolimnas viridis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Granívoro,<1300
Ara ararauna,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<500
Artibeus lituratus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Frugívoro,<2000
Astyanas fasciatus,Restringida,,,,No aplica,No Evaluado (NE),No aplica,Sí,Estacional,,Otro,Carnivoro,<500
Basiliscus galeritus,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<980
Bothrops asper,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,No Evaluado (NE),No aplica,No,,Indefinida,,Carnivoro,<600
Caecilia aff. Subnigricans,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,
Carollia sp.,,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,,,,,,Indefinida,,Frugívoro,
Cebus albifrons versicolor,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Omnivoro,<2000
Chaetura brachyura,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1050
Chalybura buffonii,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Nectarívoro,<2000
Chelonoidis carbonaria,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apendice II,,Vulnerable (VU),No,,Indefinida,Mascotas,Herbívoro,<300
Cnemidophorus lemniscatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,No Evaluado (NE),No aplica,No,0,Indefinida,0,Insectivoro,<1600
Coccyzus americanus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,l,Indefinida,,Insectivoro,<2800
Coendou bicolor,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación menor (LC),No aplica,No,,Indefinida,,Frugívoro,<2500
Columba livia,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Granívoro,<4300
Contopus sp,,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,,,,,,Indefinida,,Insectivoro,
Cyclarhis gujanensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Frugívoro,<3100
Dendroplex picus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1400
Dryocopus lineatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<2100
Eigenmannia virescens,,,,,No aplica,,No aplica,,,,Subsistencia,Carnivoro,<300
Eira barbara,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apendice III,Preocupación menor (LC),No aplica,No,,Indefinida,,Carnivoro,<1200
Fluvicula pica,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1000
Formicivora grisea,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1600
Gampsonyx swainsonii,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<1200
Hemidactylus frenatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1600
Icterus auricapillus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Frugívoro,<800
Kinosternon leucostomum,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,,No aplica,No,,Indefinida,,Omnívoro,<750
Legatus leucophaius,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,Estacional,Indefinida,,Insectivoro,<1000
Lepidoblepharis sanctaemartae,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<600
Leptodactylus sp.,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,,,,No,No Aplica,Indefinida,,Insectivoro,
Leptodeira annulata,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1500
Mabuya sp.,,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,,,,,,Indefinida,,Insectivoro,
Mastigodryas boddaerti,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<2600
Megarynchus pitangua,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Omnivoro,<1500
Molothrus bonariensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<900
Molothrus oryzivorus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación menor (LC),No aplica,No,No Aplica,Indefinida,,Omnivoro,<2000
Momotus subrufescens,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1300
Monodelphis adusta,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1200
Mycteria americana,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Carnivoro,<800
Myiarchus crinitus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,Estacional,Indefinida,,Insectivoro,<1400
Myiozetetes similis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<2000
Ninia atrata,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1000
Notosciurus granatensis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,Mascotas,Frugívoro,<3000
Pachyramphus cinnamomeus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1500
Pachyramphus rufus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1500
Phaethornis  anthophilus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,no,,Indefinida,,Nectarívoro,<1500
Phaethornis anthophilus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,no,,Indefinida,,Nectarívoro,<1500
Pheugopedius fasciatoventris,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1000
Phyllostomus hastatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1800
Piaractus brachypomus,Cosmopolita,,,,No aplica,,No aplica,No,No Aplica,,Subsistencia,Insectivoro,
Picumnus olivaceus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<2300
Pionus menstruus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,Mascotas,Frugívoro,<1400
Poecilia reticulata,,,,,No aplica,,No aplica,,,,Mascotas,Insectivoro,
Poecilotriccus sylvia,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<1100
Porthidium lansbergii,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,,No aplica,No,No Aplica,Indefinida,,Carnivoro,<600
Proechimys chrysaeolus,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Datos deficientes (DD),No aplica,No,No Aplica,Indefinida,,Herbívoro,100-500
Rattus rattus,Cosmopolita,,,,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,,,Omnivoro,<3000
Rhinella humboldti,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1000
Saccopteryx leptura,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<500
Setophaga castanea,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Insectivoro,
Setophaga petechia,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,Estacional,Indefinida,,Insectivoro,<3000
Setophaga striata,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Casi Amenazada (NT),No aplica,No,No Aplica,Indefinida,,Carnivoro,600-3000
Spizaetus tyrannus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Carnivoro,<2000
Sporophila funerea,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Granívoro,<1100
Tachycineta albiventer,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<700
Tangara inornata,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Frugívoro,<200
Tapera  naevia,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<1500
Thraupis episcopus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,Mascotas,Frugívoro,<2600
Thraupis palmarum,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,Mascotas,Frugívoro,1200
Tiaris bicolor,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Granívoro,<1300
Tityra inquisitor,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Omnivoro,<1200
Tityra semifasciata,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Omnivoro,<2500
Tolmomyias sulphurescens,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Insectivoro,<2100
Trachemys callirostris,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),Vulnerable (VU),No,No Aplica,Indefinida,Subsistencia,Omnivoro,<500
Turdus nudigenis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,Mascotas,Omnivoro,<1500
Tyrannulus elatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Omnivoro,<1200
Tyrannus tyrannus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Omnivoro,<3700
Veniliornis kirkii,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,,<1900
Vireo olivaceus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,Latitudinal,Indefinida,,Omnivoro,<1500
Zygodontomys aff. brevicauda,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Omnivoro,
